Position, Company, Location, Stacks
(Senior) Developer Fullstack (Typescript / Javascript / Node.js), DATATRONiQ, Berlin, Germany, ['Backend', 'Data Science', 'Deep tech', 'Docker', 'Frontend', 'Fullstack', 'Go', 'Golang', 'JavaScript', 'Kubernetes', 'NodeJS', 'Python', 'ReactJS', 'TypeScript']
(Senior) Backend Developer (Golang), DATATRONiQ, Berlin, Germany, ['Backend', 'Data Science', 'Deep tech', 'Docker', 'Go', 'Golang', 'JavaScript', 'Kubernetes', 'NodeJS', 'Python', 'ReactJS', 'TypeScript']
Senior Data Engineer, Latana, Berlin, Germany, ['Data Engineer', 'ETL', 'Machine Learning', 'Pipeline', 'Python']
3D Design for hardware production assistance Intern (m, f, d), LIQUIDLOOP, Berlin, Germany, ['3D Printing', 'Autodesk', 'hardtech', 'Python', 'SolidWorks']
Senior Golang Engineer (f/m/d) – Berlin/hybrid, FinCompare, Berlin, Germany, ['Golang', 'Python']
Senior Software Engineer, mediaire, Berlin, Germany, ['Docker', 'Python', 'software architecture']
Senior Fullstack Engineer (f/m/d), Kaiko Systems, Berlin, Germany, ['Celery', 'Django', 'Engineer', 'htmx', 'PostgreSQL', 'Python', 'rescript', 'Saas', 'senior engineer', 'Software', 'software as a service', 'tailwind', 'TypeScript']
Geospatial Engineer, Maya Climate, Berlin, Germany, ['Engineer', 'geospatial', 'GIS', 'Python', 'satellite']
Senior Software Engineer: Protocol Go IPFS, Keyko, Remote, ['protocol', 'engineer', 'golang', 'senior', 'dev']
Smart contract engineer DeFi, TruFin Labs, London,United Kingdom, ['engineer', 'ethereum', 'aws', 'blockchain', 'defi']
Senior Full Stack Engineer Backend Focused, Story Protocol, San Francisco,United States, ['backend', 'engineer', 'full stack', 'senior', 'api']
Python Developer, Launchpadtechnologiesinc, Latam, ['dev', 'python', 'aws']
Senior Python Software Engineer Web3 DeFi, clearmatics, Remote, ['engineer', 'python', 'senior', 'dev', 'remote']
DeFi Protocol Engineer Ethereum Python, clearmatics, Remote, ['protocol', 'engineer', 'python', 'ethereum', 'remote']
Senior Python Engineer Blockchain Cryptocurrencies, Bitpanda, Vienna,Austria, ['engineer', 'python', 'senior', 'blockchain', 'aws']
Python BackEnd Engineer Gigster Network, Gigster, Argentina, ['backend', 'engineer', 'python', 'aws', 'blockchain']
Software Engineer Python Assets Hedging, Bitpanda, Vienna,Austria, ['engineer', 'python', 'dev', 'aws', 'crypto']
Senior Software Engineer Blockchain Python, Bitpanda, Vienna,Austria, ['engineer', 'python', 'senior', 'dev', 'blockchain']
Senior Software Engineer Python, Swissblock, Baar ZG, ['engineer', 'python', 'senior', 'dev', 'kubernetes']
Python Engineer Blockchain Crypto, Bitpanda, Vienna,Austria, ['engineer', 'python', 'blockchain', 'aws', 'crypto']
Senior Python Data Engineer Finance Digital Transmation, Crypto.com, Taipei,Taiwan, ['data science', 'engineer', 'finance', 'non tech', 'python']
Python Engineer, Wallet, Remote, ['engineer', 'python', 'angular', 'blockchain', 'crypto']
Tech lead L2, Keyko, Remote, ['layer 2', 'lead', 'tech lead', 'blockchain', 'cryptography']
Senior BackEnd Engineer Javascript Python, Web3 Recruit, Remote, ['backend', 'engineer', 'javascript', 'python', 'senior']
Senior Data Scientist $200k, Web3 Recruit, Remote, ['scientist', 'data science', 'senior', 'blockchain', 'crypto']
Software Engineer Blockchain Python, Bitpanda, Vienna,Austria, ['engineer', 'python', 'dev', 'blockchain', 'aws']
Senior BackEnd Engineer Javascript Python, Volume, Remote, ['backend', 'engineer', 'javascript', 'python', 'senior']
Senior Python FrontEnd Developer, Stake Capital Group, Zürich CH, ['dev', 'front end', 'python', 'senior', 'defi']
DevOps Site Reliability Engineer, Gelato, Remote, ['engineer', 'devops', 'reliability', 'aws', 'ci cd']
Support Engineer with Python, CoW Protocol, Lisbon,Portugal, ['engineer', 'python', 'customer support', 'blockchain', 'ethereum']
DevOps Engineer, stakefish, Remote, ['engineer', 'devops', 'aws', 'blockchain', 'crypto']
Senior Python Engineer Assets and Hedging, Bitpanda, Vienna,Austria, ['engineer', 'python', 'senior', 'aws', 'blockchain']
Senior QA Engineer Cloud Auto + Java Python Coding, Binance, Taipei,Taiwan, ['cloud', 'engineer', 'java', 'python', 'quality assurance']
Core Developer Python, Wintermute, London,United Kingdom, ['dev', 'python', 'blockchain', 'crypto', 'defi']
Senior Developer Technical Architect, Keyko, Remote, ['architecture', 'dev', 'senior', 'blockchain', 'btc']
Python Backend Engineer, WOO, Taipei,Taiwan, ['backend', 'engineer', 'python', 'defi', 'javascript']
Python Crawler Engineer, Gate.io, APAC, ['engineer', 'python']
Senior Fullstack Developer, Lemon.io, Canada, ['dev', 'full stack', 'senior', 'android', 'aws']
Data Python Engineer Operations, Crypto.com, Taipei,Taiwan, ['engineer', 'operations', 'python', 'crypto']
SENIOR BLOCKCHAIN DEVELOPER, Dropbeast, Remote, ['dev', 'senior', 'blockchain', 'dapp', 'ethereum']
Senior BackEnd Engineer Python Javascript Rust, Volume, Remote, ['backend', 'engineer', 'javascript', 'python', 'rust']
Rust Engineer Blockchain Focus, Web3 Recruit, Remote, ['engineer', 'rust', 'blockchain', 'aws', 'evm']
Lead Rust Engineer, Rug.ai, Remote, ['engineer', 'lead', 'rust', 'aws', 'blockchain']
Python Data Engineer Finance Digital Transmation, Crypto.com, Hong Kong,Hong Kong, ['engineer', 'data science', 'finance', 'non tech', 'python']
Senior Quantitative Developer DeFi Web3, Tokemak, Remote, ['quantitative', 'quantitative developer', 'dev', 'senior', 'crypto']
Python SmartContract Developer, bemo, Remote, ['dev', 'python', 'ethereum', 'blockchain', 'defi']
Junior Golang Python Developer, Digital Currency Group, Stamford,CT,United States, ['dev', 'golang', 'junior', 'entry level', 'python']
Quantitative Developer Python Crypto, Qube Research & Technologies, Remote, ['quantitative', 'quantitative developer', 'dev', 'python', 'crypto']
Senior Backend Engineer Python, Bitpanda, Vienna,Austria, ['backend', 'dev', 'python', 'senior', 'aws']
Senior Developer Java Python Data and Quantitative Analytics, Crypto.com, Singapore,Singapore, ['quantitative', 'stats', 'dev', 'java', 'python']
Lead Devops Engineer, DIA, Remote, ['devops', 'dev', 'lead', 'aws', 'blockchain']
Software Engineer Python, Bitpanda, Vienna,Austria, ['dev', 'python', 'aws', 'blockchain', 'crypto']
Software Engineer Python, Wintermute, London,United Kingdom, ['dev', 'python', 'defi', 'crypto', 'blockchain']
Senior R D Engineer Java Python, OKX, Singapore,Singapore, ['dev', 'java', 'python', 'senior', 'blockchain']
Senior Python Software Engineer Web3 DeFi, Clearmatics, London,United Kingdom, ['dev', 'python', 'senior', 'blockchain', 'defi']
Engineer Python, Bitpanda, Vienna,Austria, ['dev', 'python', 'aws', 'blockchain', 'engineer']
Junior Python Engineer, Swissblock, Zug,Switzerland, ['dev', 'junior', 'entry level', 'python', 'docker']
Senior Quantitative Engineer, Tokemak, Remote, ['quantitative', 'dev', 'senior', 'blockchain engineer', 'crypto']
Python Developer Remote, Crystal Blockchain Analytics, Dublin,Ireland, ['remote', 'dev', 'python', 'blockchain']
Software Engineer Python, Plai Labs, Los Angeles,CA,United States, ['dev', 'python', 'aws', 'docker', 'engineer']
Data Scientist, Strike, Remote, ['scientist', 'data science', 'ai', 'machine learning', 'python']
Middle Python Developer Remote, Crystal Blockchain Analytics, Kiev,Ukraine, ['remote', 'dev', 'python', 'blockchain']
Lead AI ML Engineer, CERE NETWORK, Remote, ['ai', 'machine learning', 'dev', 'lead', 'cryptography']
Software Engineer Python Go Data+Backend, Kronos Research, Taipei,Taiwan, ['backend', 'dev', 'golang', 'python', 'aws']
Senior Full Stack Developer Python Javascript, Volume, Remote, ['dev', 'full stack', 'javascript', 'python', 'senior']
Backend Developer, Lemon.io, Canada, ['backend', 'dev', 'blockchain', 'blockchain engineer', 'golang']
Technical Product Owner Remote, Nillion, Remote, ['product manager', 'non tech', 'remote', 'agile', 'python']
Senior Python Engineer Blockchain, Fireblocks, Tel Aviv,Israel, ['dev', 'python', 'senior', 'blockchain', 'crypto']
Senior Engineer Python, Bitpanda, Vienna,Austria, ['dev', 'python', 'senior', 'aws', 'blockchain']
